id_req,peso_arestas,id.x,id.y,num_coautorias,nome_eleitoral.x,uf.x,nome_eleitoral.y,uf.y
2190446,0.1,160511,204525,1,ALESSANDRO MOLON - PSB/RJ,RJ,ROSANA VALLE - PSB/SP,SP
2190446,0.225,160511,204561,2,ALESSANDRO MOLON - PSB/RJ,RJ,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.225,160511,204405,2,ALESSANDRO MOLON - PSB/RJ,RJ,LIZIANE BAYER - PSB/RS,RS
2190446,0.1,160511,204371,1,ALESSANDRO MOLON - PSB/RJ,RJ,FELIPE RIGONI - PSB/ES,ES
2190446,0.225,160511,160528,2,ALESSANDRO MOLON - PSB/RJ,RJ,DANILO CABRAL - PSB/PE,PE
2190446,0.225,160511,204530,2,ALESSANDRO MOLON - PSB/RJ,RJ,RODRIGO AGOSTINHO - PSB/SP,SP
2190446,0.5583333333333333,160511,178927,3,ALESSANDRO MOLON - PSB/RJ,RJ,ALIEL MACHADO - PSB/PR,PR
2190446,0.225,160511,204542,2,ALESSANDRO MOLON - PSB/RJ,RJ,DENIS BEZERRA - PSB/CE,CE
2190446,0.225,160511,204429,2,ALESSANDRO MOLON - PSB/RJ,RJ,JOÃO H. CAMPOS - PSB/PE,PE
2190446,0.1,204525,204561,1,ROSANA VALLE - PSB/SP,SP,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.1,204405,204525,1,LIZIANE BAYER - PSB/RS,RS,ROSANA VALLE - PSB/SP,SP
2190446,0.1,204371,204525,1,FELIPE RIGONI - PSB/ES,ES,ROSANA VALLE - PSB/SP,SP
2190446,0.1,160528,204525,1,DANILO CABRAL - PSB/PE,PE,ROSANA VALLE - PSB/SP,SP
2190446,0.6,204525,204530,2,ROSANA VALLE - PSB/SP,SP,RODRIGO AGOSTINHO - PSB/SP,SP
2190446,0.1,178927,204525,1,ALIEL MACHADO - PSB/PR,PR,ROSANA VALLE - PSB/SP,SP
2190446,0.1,204525,204542,1,ROSANA VALLE - PSB/SP,SP,DENIS BEZERRA - PSB/CE,CE
2190446,0.1,204429,204525,1,JOÃO H. CAMPOS - PSB/PE,PE,ROSANA VALLE - PSB/SP,SP
2190446,0.225,204405,204561,2,LIZIANE BAYER - PSB/RS,RS,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.1,204371,204561,1,FELIPE RIGONI - PSB/ES,ES,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.225,160528,204561,2,DANILO CABRAL - PSB/PE,PE,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.225,204530,204561,2,RODRIGO AGOSTINHO - PSB/SP,SP,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.225,178927,204561,2,ALIEL MACHADO - PSB/PR,PR,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.225,204542,204561,2,DENIS BEZERRA - PSB/CE,CE,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.225,204429,204561,2,JOÃO H. CAMPOS - PSB/PE,PE,BIRA DO PINDARÉ - PSB/MA,MA
2190446,0.1,204371,204405,1,FELIPE RIGONI - PSB/ES,ES,LIZIANE BAYER - PSB/RS,RS
2190446,0.225,160528,204405,2,DANILO CABRAL - PSB/PE,PE,LIZIANE BAYER - PSB/RS,RS
